compound_id,target_id,standard_inchi_key,pkd
CHEMBL10,O00238,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.48148606012211
CHEMBL10,O14578,CDMGBJANTYXAIV-UHFFFAOYSA-N,6.3767507096021
CHEMBL10,O14976,CDMGBJANTYXAIV-UHFFFAOYSA-N,7.59063052954718
CHEMBL10,O15197,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.50863830616573
CHEMBL10,O15264,CDMGBJANTYXAIV-UHFFFAOYSA-N,8
CHEMBL10,O43353,CDMGBJANTYXAIV-UHFFFAOYSA-N,6.14508697769214
CHEMBL10,O60331,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.58502665202918
CHEMBL10,O95819,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.43179827593301
CHEMBL10,P00519,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.48811663902113
CHEMBL10,P00533,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.77514053134584
CHEMBL10,P04049,CDMGBJANTYXAIV-UHFFFAOYSA-N,6.00877392430751
CHEMBL10,P06239,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.55284196865778
CHEMBL10,P08581,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.10237290870956
CHEMBL10,P12931,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.27572413039921
CHEMBL10,P15056,CDMGBJANTYXAIV-UHFFFAOYSA-N,6.20760831050175
CHEMBL10,P29323,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.16749108729376
CHEMBL10,P29597,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.69897000433602
CHEMBL10,P33981,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.60205999132796
CHEMBL10,P36507,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.01772876696043
CHEMBL10,P36896,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.52287874528034
CHEMBL10,P36897,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.14874165128093
CHEMBL10,P37173,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.74472749489669
CHEMBL10,P42681,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.34678748622466
CHEMBL10,P42685,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.57403126772772
CHEMBL10,P45983,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.94564233767741
CHEMBL10,P45984,CDMGBJANTYXAIV-UHFFFAOYSA-N,6.92689290166457
CHEMBL10,P47811,CDMGBJANTYXAIV-UHFFFAOYSA-N,7.69897000433602
CHEMBL10,P48729,CDMGBJANTYXAIV-UHFFFAOYSA-N,7.1249387366083
CHEMBL10,P48730,CDMGBJANTYXAIV-UHFFFAOYSA-N,7.43179827593301
CHEMBL10,P49674,CDMGBJANTYXAIV-UHFFFAOYSA-N,6.85387196432176
CHEMBL10,P49841,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.76955107862173
CHEMBL10,P53778,CDMGBJANTYXAIV-UHFFFAOYSA-N,5.92903908419907
CHEMBL10,P53779,CDMGBJANTYXAIV-UHFFFAOYSA-N,7.41642341436605
CHEMBL10,P62344,CDMGBJANTYXAIV-UHFFFAOYSA-N,6.07058107428571
